Date,Open,High,Low,Close,Volume,Change
2026-09-07,267000,270000,264000,270000,18314016,5.675146771
2026-09-08,272000,279000,269000,269500,22716517,-0.1851851852
2026-09-09,269500,275000,267500,269500,16370962,0.0
2026-09-10,269000,270500,263500,269000,22517075,-0.185528757
2026-09-11,258000,261500,256500,259500,13938673,-3.531598513
